城市名称,标题,地点,岗位标签,岗位福利,公司规模,公司名称,融资情况,经验,所属行业,薪资,学历
广州,高级数据挖掘工程师（大数据）,广州,"大数据,云计算,数据分析,Hadoop,Spark,Storm",整体软件架构,500-2000人,中移互联网,不需要融资,经验1-3年,移动互联网,15k-30k,本科及以上
广州,高级数据挖掘工程师（大数据）,广州,"机器学习,建模,NLP,数据挖掘",平台好 发展好 部门重视,500-2000人,中移互联网,不需要融资,经验3-5年,移动互联网,21k-38k,本科及以上
广州,高级数据挖掘工程师（营销分析）,广州,"算法,搜索,Java,数据架构",福利待遇棒、发展前景好,500-2000人,中邮消费金融,不需要融资,经验5-10年,金融,17k-34k,硕士及以上
广州,机器学习数据挖掘,广州,"机器学习,数据挖掘",年底双薪 年终奖 海外机会 股票期权,150-500人,wlaike,B轮,经验3-5年,"移动互联网,企业服务",40k-70k,本科及以上
广州,数据挖掘（智能客服）,广州,数据挖掘,五险一金,,拉勾猎头,D轮及以上,经验1-3年,"移动互联网,企业服务",10k-20k,本科及以上
广州,数据挖掘\算法工程师,广州,"广告营销,大数据,算法,数据挖掘",一起研究数据背后的行为本质,150-500人,舜飞科技,未融资,经验3-5年,移动互联网,20k-40k,本科及以上
广州,数据挖掘分析工程师,广州,"大数据,数据挖掘,数据分析",核心业务,150-500人,索信达数据,上市公司,经验1-3年,人工智能,15k-30k,本科及以上
广州,数据挖掘高级资深工程师专家,广州,数据挖掘,前景好,,小鹏汽车,B轮,经验3-5年,汽车丨出行,20k-40k,本科及以上
广州,数据挖掘工程师,广州,"大数据,Java,数据挖掘","成长,福利,环境好,十五天年假",,骑鹅旅行,A轮,经验不限,"旅游,数据服务",15k-20k,本科及以上
广州,数据挖掘工程师,广州,"大数据,数据挖掘","包三餐,健身室,前景好,氛围好",,3K游戏,上市公司,经验3-5年,"游戏,移动互联网",15K-25K,本科及以上
广州,数据挖掘工程师,广州,"大数据,数据挖掘,数据分析","大数据,挖掘建模,机器学习,算法",150-500人,时代大数据,A轮,经验1-3年,数据服务,8k-15k,本科及以上
广州,数据挖掘工程师,广州,"大数据,算法,数据挖掘,数据分析","技术大牛,美女如云,福利多多,扁平管理",150-500人,广州思迈特,A轮,经验3-5年,"企业服务,数据服务",20k-30k,硕士及以上
广州,数据挖掘工程师,广州,"大数据,医疗健康,数据挖掘,MySQL,SQLServer",五险一金 平台大 免费班车 提供食宿,2000人以上,绿瘦,不需要融资,经验3-5年,医疗丨健康,20k-25k,本科及以上
