排名,电影名称,年份,编剧,导演,主演,类型,类型4,国家2,片长2,评价人数,五星百分比,四星百分比,三星百分比,二星百分比,一星百分比,获奖情况1,获奖情况2,获奖情况3
No.109,小森林 夏秋篇 リトル・フォレスト 夏・秋,-2014,编剧: 森淳一 / 五十岚大介,导演: 森淳一,主演: 桥本爱 / 三浦贵大 / 松冈茉优 / 温水洋一 / 桐岛加恋,导演: 森淳一        编剧: 森淳一 / 五十岚大介        主演: 桥本爱 / 三浦贵大 / 松冈茉优 / 温水洋一 / 桐岛加恋        类型: 剧情                制片国家/地区: 日本        语言: 日语        上映日期: 2014-08-30(日本)        片长: 111分钟        又名: 小森食光/夏秋篇(台) / Little Forest Summer & Autumn        IMDb链接: tt3474600,类型: 剧情 ,地区: 日本 ,片长: 111分钟 ,186422,56.90%,34.50%,7.80%,0.60%,0.20%,第2届豆瓣电影年度榜单                        最受关注的非院线电影(提名),第2届豆瓣电影年度榜单                        评分最高的日本电影,第6届豆瓣电影鑫像奖                        鑫豆单元 最佳日本电影(提名)
No.110,侧耳倾听 耳をすませば,-1995,编剧: 宫崎骏 / 柊葵,导演: 近藤喜文,主演: 本名阳子 / 小林桂树 / 高山南 / 高桥一生 / 山下容莉枝 / 室井滋 / 露口茂 / 饭冢雅弓更多...,导演: 近藤喜文        编剧: 宫崎骏 / 柊葵        主演: 本名阳子 / 小林桂树 / 高山南 / 高桥一生 / 山下容莉枝 / 室井滋 / 露口茂 / 饭冢雅弓更多...        类型: 剧情 / 爱情 / 动画                制片国家/地区: 日本        语言: 日语 / 英语        上映日期: 1995-07-15(日本)        片长: 111分钟        又名: 心之谷 / 梦幻街少女 / Whisper of the Heart / Mimi wo sumaseba        IMDb链接: tt0113824,类型: 剧情 / 爱情 / 动画 ,地区: 日本 ,片长: 111分钟 ,219050,52.40%,37.10%,9.90%,0.50%,0.10%,,,
No.111,倩女幽魂,-1987,编剧: 阮继志,导演: 程小东,主演: 张国荣 / 王祖贤 / 午马 / 刘兆铭 / 林威 / 薛芷伦 / 胡大为 / 王晶更多...,导演: 程小东        编剧: 阮继志        主演: 张国荣 / 王祖贤 / 午马 / 刘兆铭 / 林威 / 薛芷伦 / 胡大为 / 王晶更多...        类型: 剧情 / 爱情 / 武侠 / 古装                制片国家/地区: 香港        语言: 粤语        上映日期: 2011-04-30(中国大陆) / 1987-07-18(香港)        片长: 98分钟(香港) / 96分钟        又名: 倩女幽魂(87版) / A Chinese Ghost Story        IMDb链接: tt0093978,类型: 剧情 / 爱情 / 武侠 / 古装 ,地区: 香港 ,片长: 98分钟(香港) / 96分钟 ,339131,45.10%,43.20%,11.10%,0.50%,0.10%,第24届台北金马影展                        金马奖 最佳剧情片(提名),第24届台北金马影展                        金马奖 最佳男配角            午马,第7届香港电影金像奖                        最佳电影(提名)            徐克
No.112,风之谷 風の谷のナウシカ,-1984,编剧: 宫崎骏,导演: 宫崎骏,主演: 岛本须美 / 松田洋治 / 榊原良子 / 辻村真人 / 京田尚子 / 纳谷悟郎 / 永井一郎 / 宫内幸平 / 八奈见乘儿 / 矢田稔 / 富永美伊奈 / 家弓家正 / 吉田理保子 / 菅谷政子 / 坂本千夏 / 鳕子 / 麦人 / 大塚芳忠更多...,导演: 宫崎骏        编剧: 宫崎骏        主演: 岛本须美 / 松田洋治 / 榊原良子 / 辻村真人 / 京田尚子 / 纳谷悟郎 / 永井一郎 / 宫内幸平 / 八奈见乘儿 / 矢田稔 / 富永美伊奈 / 家弓家正 / 吉田理保子 / 菅谷政子 / 坂本千夏 / 鳕子 / 麦人 / 大塚芳忠更多...        类型: 动画 / 奇幻 / 冒险                制片国家/地区: 日本        语言: 日语        上映日期: 1992-05(中国大陆) / 1984-03-11(日本)        片长: 117分钟        又名: 风谷少女 / Kaze no tani no Naushika / Nausicaä of the Valley of the Wind        IMDb链接: tt0087544,类型: 动画 / 奇幻 / 冒险 ,地区: 日本 ,片长: 117分钟 ,218058,52.30%,37.30%,9.80%,0.50%,0.10%,,,
No.113,恐怖直播 더 테러 라이브,-2013,编剧: 金秉祐,导演: 金秉祐,主演: 河正宇 / 李璟荣 / 全慧珍 / 李大为,导演: 金秉祐        编剧: 金秉祐        主演: 河正宇 / 李璟荣 / 全慧珍 / 李大为        类型: 剧情 / 悬疑 / 犯罪                制片国家/地区: 韩国        语言: 韩语        上映日期: 2013-07-31(韩国)        片长: 97分钟        又名: 死亡“动”新闻(港) / 恐怖攻击直播(台) / The Terror Live / 90 Minutes of Terror        IMDb链接: tt2990738,类型: 剧情 / 悬疑 / 犯罪 ,地区: 韩国 ,片长: 97分钟 ,298949,48.90%,40.50%,9.70%,0.70%,0.20%,第34届韩国电影青龙奖                        最佳男主角(提名)            河正宇,第50届百想艺术大赏                        电影类 最佳影片(提名)            金秉祐,第4届豆瓣电影鑫像奖                        鑫豆单元 最佳男演员(外语)(提名)            河正宇
No.114,红辣椒 パプリカ,-2006,编剧: 水上清资 / 今敏 / 筒井康隆,导演: 今敏,主演: 林原惠美 / 古谷彻 / 江守彻 / 山寺宏一 / 堀胜之祐 / 大塚明夫 / 岩田光央 / 田中秀幸更多...,导演: 今敏        编剧: 水上清资 / 今敏 / 筒井康隆        主演: 林原惠美 / 古谷彻 / 江守彻 / 山寺宏一 / 堀胜之祐 / 大塚明夫 / 岩田光央 / 田中秀幸更多...        类型: 科幻 / 动画 / 悬疑 / 惊悚                制片国家/地区: 日本        语言: 日语        上映日期: 2006-09-02(威尼斯电影节) / 2006-11-25(日本)        片长: 90 分钟        又名: 盗梦侦探 / 帕布莉卡 / Paprika        IMDb链接: tt0851578,类型: 科幻 / 动画 / 悬疑 / 惊悚 ,地区: 日本 ,片长: 90 分钟 ,177196,56.60%,34.10%,8.30%,0.70%,0.20%,第63届威尼斯电影节                        主竞赛单元 金狮奖 (提名)            今敏,,
No.115,超脱 Detachment,-2011,编剧: 卡尔·隆德,导演: 托尼·凯耶,主演: 艾德里安·布洛迪 / 马西娅·盖伊·哈登 / 詹姆斯·肯恩 / 克里斯蒂娜·亨德里克斯 / 刘玉玲 / 布莱思·丹纳 / 蒂姆·布雷克·尼尔森 / 威廉·彼德森 / 布莱恩·科兰斯顿 / 萨米·盖尔 / Louis Zorich / 小伊塞亚·维特洛克更多...,导演: 托尼·凯耶        编剧: 卡尔·隆德        主演: 艾德里安·布洛迪 / 马西娅·盖伊·哈登 / 詹姆斯·肯恩 / 克里斯蒂娜·亨德里克斯 / 刘玉玲 / 布莱思·丹纳 / 蒂姆·布雷克·尼尔森 / 威廉·彼德森 / 布莱恩·科兰斯顿 / 萨米·盖尔 / Louis Zorich / 小伊塞亚·维特洛克更多...        类型: 剧情        官方网站: detachment-film.com        制片国家/地区: 美国        语言: 英语        上映日期: 2011-04-25(翠贝卡电影节)        片长: 97分钟        又名: 人间师格(台)        IMDb链接: tt1683526,类型: 剧情 ,地区: 美国 ,片长: 97分钟 ,223451,52.80%,36.20%,9.70%,1.00%,0.30%,第24届东京国际电影节                        主竞赛单元 最佳影片(提名)            托尼·凯耶,第24届东京国际电影节                        主竞赛单元 最佳艺术贡献奖            托尼·凯耶,第3届豆瓣电影鑫像奖                        鑫豆单元 最佳影片(外语)(提名)
No.116,爱在日落黄昏时 Before Sunset,-2004,编剧: 理查德·林克莱特 / 朱莉·德尔佩 / 伊桑·霍克 / 金·克里桑,导演: 理查德·林克莱特,主演: 伊桑·霍克 / 朱莉·德尔佩 / 弗农·多布切夫,导演: 理查德·林克莱特        编剧: 理查德·林克莱特 / 朱莉·德尔佩 / 伊桑·霍克 / 金·克里桑        主演: 伊桑·霍克 / 朱莉·德尔佩 / 弗农·多布切夫        类型: 剧情 / 爱情                制片国家/地区: 美国        语言: 英语 / 法语        上映日期: 2004-02-10(柏林电影节) / 2004-07-30(美国)        片长: 80 分钟        又名: 日落巴黎(港) / 爱在日落巴黎时(台) / 日落之前 / 情留相逢时 / 爱在日落余晖时 / 爱在日落黄昏前        IMDb链接: tt0381681,类型: 剧情 / 爱情 ,地区: 美国 ,片长: 80 分钟 ,247070,52.50%,35.10%,10.90%,1.20%,0.30%,第77届奥斯卡金像奖                        最佳改编剧本(提名)            伊桑·霍克 / 理查德·林克莱特 / 朱莉·德尔佩 / 金·克里桑,第54届柏林国际电影节                        金熊奖 最佳影片(提名)            理查德·林克莱特,
No.117,菊次郎的夏天 菊次郎の夏,-1999,编剧: 北野武,导演: 北野武,主演: 北野武 / 关口雄介 / 岸本加世子 / グレート義太夫 / 井手博士 / 磨赤儿 / 大家由祐子 / 细川典江 / 今村鼠 / 田中要次更多...,导演: 北野武        编剧: 北野武        主演: 北野武 / 关口雄介 / 岸本加世子 / グレート義太夫 / 井手博士 / 磨赤儿 / 大家由祐子 / 细川典江 / 今村鼠 / 田中要次更多...        类型: 剧情 / 喜剧                制片国家/地区: 日本        语言: 日语        上映日期: 1999-05-20(戛纳电影节) / 1999-06-05(日本)        片长: 121 分钟        又名: Kikujirô no natsu / Kikujiro        IMDb链接: tt0199683,类型: 剧情 / 喜剧 ,地区: 日本 ,片长: 121 分钟 ,239760,50.70%,38.10%,10.10%,0.90%,0.20%,第52届戛纳电影节                        主竞赛单元 金棕榈奖(提名)            北野武,第23届日本电影学院奖                        最佳影片(提名),第23届日本电影学院奖                        最佳女配角            岸本加世子
No.118,驯龙高手 How to Train Your Dragon,-2010,编剧: 威廉姆·戴维斯 / 迪恩·德布洛斯 / 克里斯·桑德斯 / 葛蕾熙达·柯维尔,导演: 迪恩·德布洛斯 / 克里斯·桑德斯,主演: 杰伊·巴鲁切尔 / 杰拉德·巴特勒 / 克雷格·费格森 / 亚美莉卡·费雷拉 / 乔纳·希尔 / 克里斯托夫·梅兹-普莱瑟 / T·J·米勒 / 克里斯汀·韦格 / 罗宾·阿特金·唐斯 / 菲利普·麦格雷德 / 基隆·埃利奥特 / 阿什利·詹森 / 大卫·田纳特更多...,导演: 迪恩·德布洛斯 / 克里斯·桑德斯        编剧: 威廉姆·戴维斯 / 迪恩·德布洛斯 / 克里斯·桑德斯 / 葛蕾熙达·柯维尔        主演: 杰伊·巴鲁切尔 / 杰拉德·巴特勒 / 克雷格·费格森 / 亚美莉卡·费雷拉 / 乔纳·希尔 / 克里斯托夫·梅兹-普莱瑟 / T·J·米勒 / 克里斯汀·韦格 / 罗宾·阿特金·唐斯 / 菲利普·麦格雷德 / 基隆·埃利奥特 / 阿什利·詹森 / 大卫·田纳特更多...        类型: 喜剧 / 动画 / 奇幻 / 冒险        官方网站: www.dreamworksdragons.com/        制片国家/地区: 美国        语言: 英语        上映日期: 2010-05-14(中国大陆) / 2010-03-18(俄罗斯) / 2010-03-26(美国)        片长: 98分钟        又名: 驯龙记(港)        IMDb链接: tt0892769,类型: 喜剧 / 动画 / 奇幻 / 冒险 ,地区: 美国 ,片长: 98分钟 ,362942,46.00%,42.30%,11.10%,0.50%,0.10%,第83届奥斯卡金像奖                        最佳动画长片(提名)            克里斯·桑德斯 / 迪恩·德布洛斯,第67届威尼斯电影节                        3-D电影奖 年度最具创意立体电影            克里斯·桑德斯,第68届金球奖                        电影类 最佳动画长片(提名)
No.119,幸福终点站 The Terminal,-2004,编剧: 安德鲁·尼科尔 / 萨沙·杰瓦西  / 杰夫·内桑森,导演: 史蒂文·斯皮尔伯格,主演: 汤姆·汉克斯 / 凯瑟琳·泽塔-琼斯 / 斯坦利·图齐 / 齐·麦克布赖德 / 迭戈·卢纳 / 巴里·沙巴卡·亨利 / 库玛·帕拉纳 / 佐伊·索尔达娜 / 埃迪·琼斯 / 祖德·塞克利拉 / 科瑞·雷诺兹 / 古列雷莫·迪亚兹 / 里尼·贝尔 / 瓦列里·尼古拉耶夫 / 迈克尔·诺里更多...,导演: 史蒂文·斯皮尔伯格        编剧: 安德鲁·尼科尔 / 萨沙·杰瓦西  / 杰夫·内桑森        主演: 汤姆·汉克斯 / 凯瑟琳·泽塔-琼斯 / 斯坦利·图齐 / 齐·麦克布赖德 / 迭戈·卢纳 / 巴里·沙巴卡·亨利 / 库玛·帕拉纳 / 佐伊·索尔达娜 / 埃迪·琼斯 / 祖德·塞克利拉 / 科瑞·雷诺兹 / 古列雷莫·迪亚兹 / 里尼·贝尔 / 瓦列里·尼古拉耶夫 / 迈克尔·诺里更多...        类型: 剧情 / 喜剧 / 爱情                制片国家/地区: 美国        语言: 英语 / 俄语 / 法语 / 保加利亚语        上映日期: 2005-01-14(中国大陆) / 2004-06-18(美国)        片长: 128 分钟        又名: 机场客运站(港) / 航站情缘(台) / 航站奇缘 / 单程机票航站奇缘 / 候机楼 / 单程机票 / 爱你无国界        IMDb链接: tt0362227,类型: 剧情 / 喜剧 / 爱情 ,地区: 美国 ,片长: 128 分钟 ,275059,47.00%,41.90%,10.40%,0.60%,0.10%,,,
No.120,请以你的名字呼唤我 Call Me by Your Name,-2017,编剧: 詹姆斯·伊沃里 / 安德列·艾席蒙,导演: 卢卡·瓜达尼诺,主演: 蒂莫西·柴勒梅德 / 艾米·汉莫 / 迈克尔·斯图巴 / 阿蜜拉·卡萨 / 艾斯特·加瑞尔 / 维克托瓦尔·杜·波依斯 / 旺妲·卡布里奥罗 / 安东尼奥·里莫尔迪 / 埃琳娜·布奇 / 马可·斯格罗索 / 安德列·艾席蒙 / 彼得·斯皮尔斯更多...,导演: 卢卡·瓜达尼诺        编剧: 詹姆斯·伊沃里 / 安德列·艾席蒙        主演: 蒂莫西·柴勒梅德 / 艾米·汉莫 / 迈克尔·斯图巴 / 阿蜜拉·卡萨 / 艾斯特·加瑞尔 / 维克托瓦尔·杜·波依斯 / 旺妲·卡布里奥罗 / 安东尼奥·里莫尔迪 / 埃琳娜·布奇 / 马可·斯格罗索 / 安德列·艾席蒙 / 彼得·斯皮尔斯更多...        类型: 剧情 / 爱情 / 同性        官方网站: sonyclassics.com/callmebyyourname/        制片国家/地区: 意大利 / 法国 / 巴西 / 美国        语言: 意大利语 / 法语 / 德语 / 英语        上映日期: 2017-01-22(圣丹斯电影节) / 2017-11-24(美国)        片长: 132分钟        又名: 以你的名字呼唤我(港/台) / 以你的名义呼唤我 / 唤吾汝名 / CMBYN        IMDb链接: tt5726616,类型: 剧情 / 爱情 / 同性 ,地区: 意大利 / 法国 / 巴西 / 美国 ,片长: 132分钟 ,258970,54.80%,33.60%,10.00%,1.20%,0.50%,第90届奥斯卡金像奖                        最佳影片(提名)            艾米莉·乔治斯 / 马可·莫拉比托 / 卢卡·瓜达尼诺 / 彼得·斯皮尔斯,第67届柏林国际电影节                        泰迪熊奖 最佳电影(提名)            卢卡·瓜达尼诺,第75届金球奖                        电影类 最佳剧情片(提名)
No.121,杀人回忆 살인의 추억,-2003,编剧: 奉俊昊 / 沈成宝 / 金光林,导演: 奉俊昊,主演: 宋康昊 / 金相庆 / 金雷河 / 宋在浩 / 朴努植 / 朴海日 / 边熙峰 / 高瑞熙 / 郑仁仙更多...,导演: 奉俊昊        编剧: 奉俊昊 / 沈成宝 / 金光林        主演: 宋康昊 / 金相庆 / 金雷河 / 宋在浩 / 朴努植 / 朴海日 / 边熙峰 / 高瑞熙 / 郑仁仙更多...        类型: 剧情 / 悬疑 / 惊悚 / 犯罪                制片国家/地区: 韩国        语言: 韩语        上映日期: 2003-05-02(韩国)        片长: 130分钟        又名: 谋杀回忆 / 杀手回忆录 / Salinui chueok / Memories of Murder        IMDb链接: tt0353969,类型: 剧情 / 悬疑 / 惊悚 / 犯罪 ,地区: 韩国 ,片长: 130分钟 ,262086,48.20%,40.20%,10.40%,0.90%,0.30%,第16届东京国际电影节                        亚洲之风 最佳亚洲电影            奉俊昊,,
No.122,神偷奶爸 Despicable Me,-2010,编剧: 肯·道里欧 / 塞尔希奥·巴勃罗斯 / 辛科·保罗,导演: 皮埃尔·柯芬 / 克里斯·雷纳德,主演: 史蒂夫·卡瑞尔 / 杰森·席格尔 / 拉塞尔·布兰德 / 朱莉·安德鲁斯 / 威尔·阿奈特 / 克里斯汀·韦格 / 米兰达·卡斯格拉夫 / 达纳·盖尔 / 艾尔西·费舍尔 / 皮埃尔·柯芬 / 克里斯·雷纳德 / 杰梅奈·克莱门特 / 杰克·麦克布瑞尔 / 丹尼·麦克布莱德 / 敏迪·卡灵 / 罗布·许贝尔 / 肯·道里欧 / 郑肯更多...,导演: 皮埃尔·柯芬 / 克里斯·雷纳德        编剧: 肯·道里欧 / 塞尔希奥·巴勃罗斯 / 辛科·保罗        主演: 史蒂夫·卡瑞尔 / 杰森·席格尔 / 拉塞尔·布兰德 / 朱莉·安德鲁斯 / 威尔·阿奈特 / 克里斯汀·韦格 / 米兰达·卡斯格拉夫 / 达纳·盖尔 / 艾尔西·费舍尔 / 皮埃尔·柯芬 / 克里斯·雷纳德 / 杰梅奈·克莱门特 / 杰克·麦克布瑞尔 / 丹尼·麦克布莱德 / 敏迪·卡灵 / 罗布·许贝尔 / 肯·道里欧 / 郑肯更多...        类型: 喜剧 / 动画 / 冒险        官方网站: www.despicableme.com        制片国家/地区: 美国 / 法国        语言: 英语        上映日期: 2010-06-20(莫斯科电影节) / 2010-07-09(美国)        片长: 95分钟        又名: 卑鄙的我 / 坏蛋奖门人(港) / 偷天换“月”(港) / 我很贱 / Baby的我        IMDb链接: tt1323594,类型: 喜剧 / 动画 / 冒险 ,地区: 美国 / 法国 ,片长: 95分钟 ,490671,40.90%,45.50%,12.80%,0.70%,0.10%,第68届金球奖                        电影类 最佳动画长片(提名),第38届动画安妮奖                        最佳动画长片(提名),第9届华盛顿影评人协会奖                        最佳动画片(提名)
No.123,借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,-2010,编剧: 宫崎骏 / 丹羽圭子 / 玛丽·诺顿,导演: 米林宏昌,主演: 志田未来 / 神木隆之介 / 树木希林 / 三浦友和 / 大竹忍 / 竹下景子 / 藤原龙也更多...,导演: 米林宏昌        编剧: 宫崎骏 / 丹羽圭子 / 玛丽·诺顿        主演: 志田未来 / 神木隆之介 / 树木希林 / 三浦友和 / 大竹忍 / 竹下景子 / 藤原龙也更多...        类型: 动画 / 奇幻 / 冒险        官方网站: karigurashi.jp        制片国家/地区: 日本        语言: 日语        上映日期: 2010-07-17(日本)        片长: 94分钟        又名: 借物少女艾莉缇(台) / 借东西的小矮人亚莉亚蒂(港) / 借东西的阿莉埃蒂 / 借东西的地下小人 / The Borrower Arrietty / The Secret World of Arrietty        IMDb链接: tt1568921,类型: 动画 / 奇幻 / 冒险 ,地区: 日本 ,片长: 94分钟 ,269439,47.80%,41.00%,10.60%,0.50%,0.10%,第34届日本电影学院奖                        最佳动画片,第25届芝加哥影评人协会奖                        最佳动画片(提名),
No.124,哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2,-2011,编剧: 史蒂夫·克洛夫斯 / J·K·罗琳,导演: 大卫·叶茨,主演: 丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 / 海伦娜·伯翰·卡特 / 拉尔夫·费因斯 / 艾伦·瑞克曼 / 玛吉·史密斯 / 汤姆·费尔顿 / 邦妮·怀特 / 朱丽·沃特斯 / 迈克尔·刚本 / 伊文娜·林奇 / 多姆纳尔·格里森 / 克蕾曼丝·波西 / 詹森·艾萨克 / 海伦·麦克洛瑞 / 马修·刘易斯 / 梁佩诗 / 约翰·赫特 / 大卫·休里斯 / 加里·奥德曼 / 吉姆·布劳德本特 / 艾玛·汤普森 / 娜塔丽·特纳 / 蒂莫西·斯波 / 大卫·布拉德利 / 罗彼·考特拉尼 / 凯莉·麦克唐纳 / 塞伦·希德更多...,导演: 大卫·叶茨        编剧: 史蒂夫·克洛夫斯 / J·K·罗琳        主演: 丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特 / 海伦娜·伯翰·卡特 / 拉尔夫·费因斯 / 艾伦·瑞克曼 / 玛吉·史密斯 / 汤姆·费尔顿 / 邦妮·怀特 / 朱丽·沃特斯 / 迈克尔·刚本 / 伊文娜·林奇 / 多姆纳尔·格里森 / 克蕾曼丝·波西 / 詹森·艾萨克 / 海伦·麦克洛瑞 / 马修·刘易斯 / 梁佩诗 / 约翰·赫特 / 大卫·休里斯 / 加里·奥德曼 / 吉姆·布劳德本特 / 艾玛·汤普森 / 娜塔丽·特纳 / 蒂莫西·斯波 / 大卫·布拉德利 / 罗彼·考特拉尼 / 凯莉·麦克唐纳 / 塞伦·希德更多...        类型: 剧情 / 悬疑 / 奇幻 / 冒险                制片国家/地区: 美国 / 英国        语言: 英语        上映日期: 2011-08-04(中国大陆) / 2011-07-15(美国)        片长: 130分钟        又名: 哈利波特7：死神的圣物2(港/台) / 哈利·波特与死圣(下) / 哈7(下) / 哈利·波特大结局        IMDb链接: tt1201607        官方小站:        哈利·波特与死亡圣器,类型: 剧情 / 悬疑 / 奇幻 / 冒险 ,地区: 美国 / 英国 ,片长: 130分钟 ,352159,50.50%,35.80%,12.50%,0.90%,0.30%,第84届奥斯卡金像奖                        最佳视觉效果(提名)            约翰·理查森 / Greg Butler / David Vickery / 蒂姆·伯克,第21届MTV电影奖                        MTV电影奖 年度电影(提名),第17届美国评论家选择电影奖                        最佳美术指导(提名)            斯蒂芬妮·麦克米兰 / 斯图尔特·克莱格
No.125,小森林 冬春篇 リトル・フォレスト 冬・春,-2015,编剧: 森淳一 / 五十岚大介,导演: 森淳一,主演: 桥本爱 / 三浦贵大 / 松冈茉优 / 温水洋一 / 桐岛加恋,导演: 森淳一        编剧: 森淳一 / 五十岚大介        主演: 桥本爱 / 三浦贵大 / 松冈茉优 / 温水洋一 / 桐岛加恋        类型: 剧情                制片国家/地区: 日本        语言: 日语        上映日期: 2015-02-14(日本)        片长: 120分钟        又名: 小森食光/冬春篇(台) / Little Forest: Winter & Spring        IMDb链接: tt3474602,类型: 剧情 ,地区: 日本 ,片长: 120分钟 ,162085,57.70%,34.20%,7.30%,0.50%,0.20%,第2届豆瓣电影年度榜单                        评分最高的日本电影(提名),第6届豆瓣电影鑫像奖                        鑫豆单元 最佳日本电影,
No.126,七武士 七人の侍,-1954,编剧: 黑泽明 / 小国英雄 / 桥本忍,导演: 黑泽明,主演: 三船敏郎 / 志村乔 / 稻叶义男 / 宫口精二 / 千秋实 / 加东大介 / 木村功更多...,导演: 黑泽明        编剧: 黑泽明 / 小国英雄 / 桥本忍        主演: 三船敏郎 / 志村乔 / 稻叶义男 / 宫口精二 / 千秋实 / 加东大介 / 木村功更多...        类型: 剧情 / 动作 / 冒险                制片国家/地区: 日本        语言: 日语        上映日期: 1954-04-26(日本)        片长: 160分钟(国际版) / 150分钟(英国初版) / 190分钟(英国1991重映版) / 141分钟(美国初版) / 203分钟(美国重映版) / 207分钟(修复版)        又名: 七侠四义(港) / The Seven Samurai / Shichinin no samurai        IMDb链接: tt0047478,类型: 剧情 / 动作 / 冒险 ,地区: 日本 ,#VALUE!,97163,67.30%,26.40%,5.50%,0.50%,0.30%,第29届奥斯卡金像奖                        黑白片最佳艺术指导和布景(提名)            松山鹰志,第29届奥斯卡金像奖                        黑白片最佳服装设计(提名)            木下忠司,第15届威尼斯电影节                        主竞赛单元 金狮奖 (提名)            黑泽明
No.127,岁月神偷 歲月神偷,-2010,编剧: 罗启锐 / 张婉婷,导演: 罗启锐,主演: 吴君如 / 任达华 / 钟绍图 / 李治廷 / 蔡颖恩 / 秦沛 / 夏萍 / 谷德昭 / 许鞍华 / 张同祖 / 庄域飞 / 威廉希路 / 李健兴 / 林耀祺 / 廖爱玲 / 张翼东 / 钱耀荣 / 谭瓒强 / 陈庆航 / 黎祥荣更多...,导演: 罗启锐        编剧: 罗启锐 / 张婉婷        主演: 吴君如 / 任达华 / 钟绍图 / 李治廷 / 蔡颖恩 / 秦沛 / 夏萍 / 谷德昭 / 许鞍华 / 张同祖 / 庄域飞 / 威廉希路 / 李健兴 / 林耀祺 / 廖爱玲 / 张翼东 / 钱耀荣 / 谭瓒强 / 陈庆航 / 黎祥荣更多...        类型: 剧情 / 家庭                制片国家/地区: 香港 / 中国大陆        语言: 粤语 / 汉语普通话 / 英语 / 上海话 / 法语        上映日期: 2010-04-16(中国大陆) / 2010-02-14(柏林电影节) / 2010-03-11(香港)        片长: 117分钟 / 120分钟(柏林电影节)        又名: 1969太空漫游 / Echoes Of The Rainbow        IMDb链接: tt1602572,类型: 剧情 / 家庭 ,地区: 香港 / 中国大陆 ,片长: 117分钟 / 120分钟(柏林电影节) ,359699,46.50%,40.60%,11.90%,0.90%,0.20%,第29届香港电影金像奖                        最佳编剧            罗启锐,第31届大众电影百花奖                        最佳编剧(提名)            罗启锐,第14届中国电影华表奖                        优秀境外华裔导演奖(提名)            罗启锐
No.128,"怪兽电力公司 Monsters, Inc.",-2001,编剧: 安德鲁·斯坦顿 / 丹尼尔·吉尔森 / 罗伯特·L·贝尔德 / 瑞特·里斯 / 乔纳森·罗伯特  / 彼特·道格特 / 杰夫·皮金 / 吉尔·卡尔顿 / 拉夫·埃格尔斯顿,导演: 彼特·道格特 / 大卫·斯沃曼 / 李·昂克里奇,主演: 约翰·古德曼 / 比利·克里斯托 / 玛丽·吉布斯 / 史蒂夫·布西密 / 詹姆斯·柯本 / 詹妮弗·提莉 / 鲍勃·彼德森 / 约翰·拉岑贝格 / 弗兰克·奥兹 / 丹尼尔·吉尔森 / 邦尼·亨特 / 杰克·安杰尔 / 塞缪尔·洛德·布莱克 / 史蒂夫·萨斯坎德更多...,导演: 彼特·道格特 / 大卫·斯沃曼 / 李·昂克里奇        编剧: 安德鲁·斯坦顿 / 丹尼尔·吉尔森 / 罗伯特·L·贝尔德 / 瑞特·里斯 / 乔纳森·罗伯特  / 彼特·道格特 / 杰夫·皮金 / 吉尔·卡尔顿 / 拉夫·埃格尔斯顿        主演: 约翰·古德曼 / 比利·克里斯托 / 玛丽·吉布斯 / 史蒂夫·布西密 / 詹姆斯·柯本 / 詹妮弗·提莉 / 鲍勃·彼德森 / 约翰·拉岑贝格 / 弗兰克·奥兹 / 丹尼尔·吉尔森 / 邦尼·亨特 / 杰克·安杰尔 / 塞缪尔·洛德·布莱克 / 史蒂夫·萨斯坎德更多...        类型: 喜剧 / 动画 / 儿童 / 奇幻 / 冒险        官方网站: www.monstersinc.com        制片国家/地区: 美国        语言: 英语        上映日期: 2001-11-02(美国) / 2012-12-19(美国)        片长: 92 分钟        又名: 怪兽公司(港) / 怪物公司        IMDb链接: tt0198781,类型: 喜剧 / 动画 / 儿童 / 奇幻 / 冒险 ,地区: 美国 ,片长: 92 分钟 ,312249,43.80%,44.00%,11.60%,0.50%,0.10%,第74届奥斯卡金像奖                        最佳动画长片(提名)            约翰·拉塞特 / 彼特·道格特,第30届动画安妮奖                        最佳动画长片(提名),第27届报知映画赏                        海外作品奖            彼特·道格特
No.129,7号房的礼物 7번방의 선물,-2013,编剧: 李焕庆 / 刘英雅,导演: 李焕庆,主演: 柳承龙 / 朴信惠 / 郑镇荣 / 金正泰 / 吴达洙 / 朴元尚 / 郑满植 / 葛素媛更多...,导演: 李焕庆        编剧: 李焕庆 / 刘英雅        主演: 柳承龙 / 朴信惠 / 郑镇荣 / 金正泰 / 吴达洙 / 朴元尚 / 郑满植 / 葛素媛更多...        类型: 剧情 / 喜剧 / 家庭        官方网站: www.7gift.kr        制片国家/地区: 韩国        语言: 韩语        上映日期: 2013-01-23(韩国)        片长: 127分钟        又名: 戆爸的礼物(港) / 7号囚房的礼物 / 12月23日 / Gift From Room / Find Miracle in Cell No.7 / Miracle In Cell No.7        IMDb链接: tt2659414,类型: 剧情 / 喜剧 / 家庭 ,地区: 韩国 ,片长: 127分钟 ,230337,51.20%,37.00%,10.50%,1.00%,0.30%,第34届韩国电影青龙奖                        最佳男主角(提名)            柳承龙,第49届百想艺术大赏                        电影类 最佳影片(提名),第50届韩国电影大钟奖                        最佳影片(提名)
